#  STRING NAME (do not change!);English;French;Italian;Spanish;German;Polish;Portugese;Russian;;Extra2;X
EE_STOCK;Create a national stockmarket.;Création d'une bourse nationale.;Crea una borsa valori nazionale.;Crear una bolsa nacional.;Nationale Börse einrichten.;Utwórz gie³dê narodow¹.;;;;;X
EE_ADDCORE;%s will be considered one of your national provinces.;%s sera désormais une de vos provinces nationales.;%s sarà considerata una delle tue province nazionali.;%s pasa a ser una de las provincias de nuestra nación.;%s wird als eine Ihrer nationalen Provinzen betrachtet.;%s bêdzie uznawana za jedn¹ z prowincji narodowych.;;;;;X
EE_REMCORE;%s will no longer be your national province.;%s ne sera plus une de vos provinces nationales.;%s non sarà più una delle tue province nazionali.;%s ya no será una provincia de nuestra nación.;%s wird nicht länger Ihre nationale Provinz sein.;%s nie bêdzie ju¿ prowincj¹ narodow¹ Twojego pañstwa.;;;;;X
EE_COT;Center of Trade created in %s.;Centre d'affaires créé à %s.;Centro del commercio creato in %s;Creado centro de comercio en %s.;Handelszentrum errichtet in %s.;Placówka handlowa stworzona w %s.;;;;;X
EE_SECEDE;Secede %s to %s.;Sécession de %s avec %s.;Consegna %s a %s.;Separar a %s (%s).;%s von %s trennen.;Przeka¿ %s na rzecz %s.;;;;;X
EE_A_CUL;Gain %s as a state culture.\n;Obtenir %s comme culture officielle.\n;Ottieni %s come cultura di stato.\n;Obtener %s como cultura oficial.\n;%s als Staatskultur erwerben.\n;Zdob¹dŸ %s jako dziedzictwo kulturowe kraju.\n;;;;;X
EE_R_CUL;Lose %s as a state culture.\n;Perdre %s comme culture officielle.\n;Perdi %s come cultura di stato.\n;Perder %s como cultura oficial.\n;%s als eine Staatskultur verlieren.\n;Utraæ %s jako dziedzictwo kulturowe kraju.\n;;;;;X
EE_LOAN;Size of loans will now be %d$\n;La taille des prêts sera désormais : %d$\n;D'ora in poi, l'importo dei prestiti sarà di %d$\n;Volumen de préstamos será de %d $\n;Die Höhe der Darlehen ist jetzt %d$\n;Wielkoœæ po¿yczek bêdzie teraz równa %d$\n;;;;;X
EE_GAIN_BUILDING;Gain a %s in %s;Obtenir un(e) %s à %s;Ottieni un %s in %s;Obtener %s en %s;Ein %s in %s erlangen;Zdob¹dŸ %s w %s;;;;;X
EE_LOSE_BUILDING;Lose %s in %s;Perdre %s à %s;Perdi: %s in: %s;Perder %s en %s;%s in %s verlieren;Utraæ %s w %s;;;;;X
EE_WAR;War with %s.;En guerre contre %s.;In guerra con %s.;Guerra contra %s.;Krieg mit %s.;Wojna z %s.;;;;;X
EE_INDY;Grant Independence to %s;Indépendance accordée à %s.;Garantisci l'indipendenza a %s.;Garantizar independ. de %s;%s die Unabhängigkeit gewähren;Przyznaj niepodleg³oœæ %s\n;;;;;X
EE_TECH;Switch Technologygroup to %s;Changer de groupe technologique pour %s;Passa al ramo tecnologico %s.;Cambiar grupo tecnol. a %s;Technologiegruppe zu %s wechseln;Zmieñ grupê technologii na %s;;;;;X
EE_PURGE;The most disloyal %d ministers and %d leaders are executed.;Les %d ministres et les %d commandants les moins loyaux sont exécutés.;I %d ministri e i %d comandanti più sleali sono stati giustiziati.;Los %d ministros y los %d líderes menos leales son ejecutados.;Die unloyalsten %d-Minister und %d Anführer werden hingerichtet.;Najbardziej nielojalni %d ministrowie i %d dowódcy zostaj¹ straceni.;;;;;X
EE_REGIME_FALLS;The current regime has been overthrown!;Le régime a été renversé!;Il regime attuale è stato rovesciato!;¡El régimen actual ha sido derrocado!;Das aktuelle Regime ist gestürzt worden!;Obecny re¿im zosta³ obalony!;;;;;X
EE_LEADER_SKILL;%s gets skill %d.;%s obtient la compétence %d.;%s ottiene l'abilità %d.;%s obtiene hab. %d.;%s erringt Fähigkeit %d.;%s otrzymuje zdolnoœæ %d.;;;;;X
EE_MINISTER_SKILL;Unused command;Commande inutilisée;Comando inutilizzato;Comando sin usar;Unbenutzter Befehl;Dowództwo nieobsadzone;;;;;X
EE_CIVIL_WAR;Country is thrown into Civil War!;Le pays sombre dans la guerre civile!;Nella nazione è scoppiata la guerra civile!;¡El país se aboca a una guerra civil!;Bürgerkrieg im Land!;Pañstwo ogarnia wojna domowa!;;;;;X
EE_STEAL_TECH;Steal blueprints for '%s' from %s.;Voler une technologie à %s %s.;Ruba la tecnologia '%s' a %s.;Robar tecnología '%s' de %s.;Technologie '%s' von %s stehlen.;Wykradnij technologiê '%s' od %s.;;;;;X
EE_RESEARCH_SABOTAGED;One of our research projects has been sabotaged!;L'un de nos projets de recherche a été saboté!;Uno dei nostri progetti di ricerca è stato sabotato!;¡Han saboteado un proyecto de investigación!;Eines unserer Forschungsprojekte ist sabotiert worden!;Dokonano sabota¿u jednego z naszych projektów badawczych!;;;;;X
EE_DETECT_UNITS;Detect %d armies from %s.;%d armées de %s détectées.;Individua %d truppe da %s.;Detección %d ejércitos de %s.;%d Armeen von %s erkennen.;Wykryj %d armii od %s.;;;;;X
EE_LEADER_LOY;%s's loyalty is revealed!;La loyauté de %s éclate au grand jour!;Ecco la lealtà di %s!;¡Descubierta la lealtad de %s!;%ss Loyalität wurde bloßgelegt!;Lojalnoœæ %s zosta³a ujawniona!;;;;;X
EE_MINISTER_LOY;%s's loyalty is revealed!;La loyauté de %s éclate au grand jour!;Ecco la lealtà di %s!;¡Descubierta la lealtad de %s!;%ss Loyalität wurde bloßgelegt!;Lojalnoœæ %s zosta³a ujawniona!;;;;;X
EE_INDUSTRY;Industrial capacity in %s is changed by %d.;Capacité industrielle de %s passée à %d.;La produzione industriale a %s è cambiata di %d.;La capacidad industrial de %s ha cambiado en %d.;Industriestärke in %s ändert sich um %d.;Potencja³ przemys³owy w %s zmienia siê o %d.;;;;;X
EE_FLAK;Anti-Air cover in %s is changed by %d.;DCA de %s passée à %d.;La copertura contraerea in %s è cambiata di %d.;La cobertura antiaérea de %s ha cambiado en %d.;Flugabwehrdeckung in %s um %d geändert .;Os³ona przeciwlotnicza w %s zmienia siê o %d.;;;;;X
EE_INFRA;Infrastructure in %s is changed by %d.;Niveau d'infrastructures de %s passé à %d.;L'infrastruttura in %s è cambiata di %d.;Las infraestructuras de %s han cambiado en %d.;Infrastruktur in %s änderte sich um %d.;Infrastruktura w %s zmienia siê o %d.;;;;;X
EE_COASTAL_FORT;Coastal Fort level in %s is changed by %d.;Niveau de fortifications côtières de %s passé à %d.;Il livello della fortezza costiera in %s è cambiato di %d.;El nivel de fort. cost. de %s ha cambiado en %d.;Küstenbefestigungs-Stufe in %s wurde geändert um %d.;Poziom fortyfikacji nadbrze¿nych w %s zmienia siê o %d.;;;;;X
EE_LAND_FORT;Land Fort level in %s is changed by %d.;Niveau de fortifications terrestres de %s passé à %d.;Il livello della fortezza terrestre in %s è cambiato di %d.;El nivel de fort. terr. de %s ha cambiado en %d.;Landbefestigungs-Stufe in %s änderte sich um %d.;Poziom fortyfikacji l¹dowych w %s zmienia siê o %d.;;;;;X
EE_PEACE;Peace concluded with %s.;Paix conclue avec %s.;Hai firmato la pace con %s.;Dispuesta la paz con %s.;Frieden mit %s geschlossen.;Zawarcie pokoju z: %s.;;;;;X
EE_SUPPLY_POOL;Supply stockpile changed by %d.;Stocks de ravitaillement augmentés de %d.;La riserva di rifornimenti è aumentata di %d.;La reserva de suministros cambia en %d.;Nachschubvorrat wurde um %d geändert.;Zapas zaopatrzenia zmienia siê o %d.;;;;;X
EE_METAL_POOL;Metal stockpile changed by %d.;Réserve de métaux changée par %d.;La riserva di metallo è cambiata di %d.;La reserva de metal cambia en %d.;Metallvorrat wurde um %d geändert.;Zapas stali zmienia siê o %d.;;;;;X
EE_ENERGY_POOL;Energy stockpile changed by %d.;Réserve d'énergie changée par %d.;La riserva di energia è cambiata di %d.;La reserva de energía cambia en %d.;Energievorrat um %d geändert.;Zapas energii zmienia siê o %d.;;;;;X
EE_OIL_POOL;Oil stockpile increased with %d.;Augmentation de la réserve de pétrole de %d.;Le riserve di petrolio sono aumentate di %d.;La reserva de petr. aumenta: %d.;Ölvorrat wurde um %d geändert.;Zapas ropy zmienia siê o %d.;;;;;X
EE_RARE_MATERIALS_POOL;Rare Materials stockpile changed by %d.;Réserve de matières précieuses changée par %d.;La riserva di materiali rari è cambiata di %d.;La reserva de materiales raros cambia en %d.;Vorrat seltene Materialien um %d geändert.;Zapas materia³ów rzadkich zmienia siê o %d.;;;;;X
EE_KEYPOINTS;Keypoint value in %s changed by %d.;Valeur du point stratégique de %s passée à %d.;Il valore del punto chiave in %s è cambiato di %d.;El valor de punto clave de %s cambia en %d.;Schlüsselpunktwert in %s geändert um %d.;Wartoœæ punktów zwyciêstwa w %s zmieniona o %d.;;;;;X
EE_WAR_ENTRY;War entry for %s changed by %d.;Conditions d'entrée en guerre passées %s à %d.;L'entrata in guerra di %s è cambiata di %d.;Entrada en guerra para %s cambia en %d.;Kriegseintritt für %s durch %d geändert.;Wartoœæ wymagana do wziêcia udzia³u w wojnie dla %s zmieniona o %d.;;;;;X
EE_WAR_ENTRY_US;War entry changed by %d.;Conditions d'entrée en guerre passées à %d.;L'entrata in guerra è cambiata di %d.;Entrada en guerra cambia en %d.;Kriegseintritt geändert durch %d.;Wartoœæ wymagana do wziêcia udzia³u w wojnie zmieniona o %d.;;;;;X
EE_MAKE_PUPPET;%s is made a puppet nation.;Régime fantoche établi en %s.;%s è diventata una nazione fantoccio.;%s es ahora una nación títere.;%s wird zu einem Marionettenstaat.;%s jest od teraz marionetk¹.;;;;;X
EE_COUP_NATION;A coup is staged in %s.;Coup d'Etat organisé en %s.;Colpo di stato in corso in %s.;Golpe de estado en %s.;Putschversuch in %s.;Zorganizowano przewrót w %s.;;;;;X
EE_ACCESS;Grant military access to %s.;Accorde l'accès militaire à %s.;Garantisci l'accesso militare a %s.;Conceder acceso militar a %s.;%s Durchmarschgenehmigung gewähren.;Zezwól na dostêp militarny pañstwu: %s.;;;;;X
EE_SMINISTER;The minister %s is no longer available.;Le ministre %s n'est plus en fonction.;Il ministro %s non è più disponibile.;El ministro %s ya no está disponible.;Der Minister %s steht nicht mehr zu Verfügung.;Minister %s nie jest ju¿ dostêpny.;;;;;X
EE_STEAM;Research Team %s is no longer available.;L'Equipe de recherche %s n'est plus en fonction.;La squadra di ricerca %s non è più disponibile.;El equipo de investigación %s ya no está disponible.;Das Forscherteam %s steht nicht mehr zu Verfügung.;Zespó³ badawczy %s nie jest ju¿ dostêpny.;;;;;X
EE_WTEAM;Research Team %s is now available.;L'équipe de recherche %s est maintenant en fonction.;La squadra di ricerca %s è disponibile.;El equipo de investigación %s ya está disponible.;Das Forscherteam %s steht jetzt zur Verfügung.;Zespó³ badawczy %s jest dostêpny.;;;;;X
EE_GAIN_TECH;Gain a blueprint for technology '%s'.;Obtenir un projet technologique '%s'.;Ottieni uno schema per la tecnologia '%s'.;Obtener un plano de la tecnología '%s'.;Einen Plan für Technologie '%s' gewinnen.;Pozyskaj plany technologii '%s'.;;;;;X
EE_SWITCH_ALLEGIANCE;Unit %s defects to %s.;L'unité %s s'enfuit vers %s.;L'unità %s è passata a %s.;La unidad %s ha desertado a %s.;Die Einheit %s desertiert nach %s.;Jednostka %s przechodzi na stronê %s.;;;;;X
EE_NOW;;;;;;;;;;;X
EE_ON_UPGRADE;(U);(U);(P);(M);(U);(U);;;;;X
EE_US;Us;Nous;gli alleati;Nos.;Uns;My;;;;;X
EE_THEM;Them;Eux;gli avversari;Ellos;Ihnen;Oni;;;;;X
EE_APPLICATION;App;App.;App;Apli.;Anwdg.;Apli;;;;;X
EE_THEORETICAL;Theo;Théo.;Teo;Teor.;Theo.;Teo;;;;;X
EE_TOTAL;Total;Total;Tot.;Total;Gesamt;Razem;;;;;X
EE_SUPPLIES;Supplies;Ravitaillement;Rifornimenti;Suministros;Nachschubgüter;Zaopatrzenie;;;;;X
EE_ENERGY_TO_OIL;Energy-To-Oil;Energie en pétrole;Energia per petrolio;Energía-comb.;Energie zu Öl;Energia-w-ropê;;;;;X
EE_OIL_TO_RARE_MATERIALS;Oil-To-Rare-Materials;Pétrole en matières précieuses;Petrolio per materiali rari;Comb.-materiales raros;Öl-zu-seltene Materialien;Ropa-w-materia³y rzadkie;;;;;X
EE_SOFT_ATTACK;Soft Attack;Attaque cibles vivantes;Attacco leggero;Ataque antipersonal;Leichter Angriff;Atak przeciw sile ¿ywej;;;;;X
EE_HARD_ATTACK;Hard Attack;Attaque cibles dures;Attacco pesante;Ataque anticarro;Schwerer Angriff;Atak przeciw sile pancernej;;;;;X
EE_AIR_ATTACK;Air Attack;Attaque aérienne;Attacco aereo;Ataque aéreo;Luftangriff;Atak powietrzny;;;;;X
EE_NAVAL_ATTACK;Naval Attack;Attaque navale;Attacco navale;Ataque naval;Seeangriff;Atak morski;;;;;X
EE_STRATEGIC_ATTACK;Strategic Attack;Attaque stratégique;Attacco strategico;Ataque estrat.;Strategischer Angriff;Atak strategiczny;;;;;X
EE_GROUND_DEFENSE;Ground Defence;Défense au sol;Difesa terrestre;Defensa terr.;Bodenverteidigung;Obrona naziemna;;;;;X
EE_AIR_DEFENSE;Air Defence;Défense aérienne;Difesa aerea;Defensa aérea;Luftverteidigung;Obrona przeciwlotnicza;;;;;X
EE_NAVAL_DEFENSE;Naval Desense;Défense navale;Difesa navale;Defensa marít.;Seeverteidigung;Obrona morska;;;;;X
EE_BUILD_COST;Cost;Coût;Costo;Coste;Kosten;Koszt;;;;;X
EE_BUILD_TIME;Time;Temps;Tempo;Tiempo;Dauer;Czas;;;;;X
EE_REQ_MANPOWER;Manpower;Main d'oeuvre;Forza lavoro;Rec. hum.;Wehrfähige;Zasoby ludzkie;;;;;X
EE_SPEED;Speed;Vitesse;Velocità;Veloc.;Geschwindigkeit;Szybkoœæ;;;;;X
EE_SPEED_CAP_ART;Artillery Speedcap;Pot. Vitesse artillerie;Limite di velocità artiglieria;Velocidad de artillería;Artillerie Geschwindigkeitscap.;Limit szybkoœci artylerii;;;;;X
EE_SPEED_CAP_AT;Antitank Speedcap;Pot. Vitesse antichar;Limite di velocità anticarro;Velocidad de anticarros;Panzerabwehr Geschwindigkeitscap.;Limit szybkoœci ppanc;;;;;X
EE_SPEED_CAP_AA;AntiAir Speedcap;Pot. Vitesse antiaérien;Limite di velocità antiaerei;Velocidad de antiaéreos;Luftabwehr Geschwindigkeitscap.;Limit szybkoœci plot;;;;;X
EE_SPEED_CAP_ENG;Engineer Speedcap;Pot. Vitesse ingénieur;Limite di velocità geniere;Velocidad de ingenieros;Pionier Geschwindigkeitscap.;Limit szybkoœci in¿ynierów;;;;;X
EE_MAX_ORG;MaxOrg;Org. max.;Org. max.;Org. máx.;MaxOrg;Maks. zorg.;;;;;X
EE_MORALE;Morale;Moral;Morale;Moral;Moral;Morale;;;;;X
EE_WEIGHT;Weight;Poids;Peso;Peso;Gewicht;Masa;;;;;X
EE_SUPPLY_CONSUMPTION;Supply Consumption;Consommation (ravitaillement);Consumo di rifornimenti;Consumo suminist.;Nachschubverbrauch;Zu¿ycie zaopatrzenia;;;;;X
EE_FUEL_CONSUMPTION;Fuel Consumption;Consommation (pétrole);Consumo di carburante;Consumo combust.;Treibstoffverbrauch;Zu¿ycie paliwa;;;;;X
EE_RANGE;Range;Rayon d'action;Raggio;Radio de acción;Reichweite;Zasiêg;;;;;X
EE_VISIBILITY;Visibility;Visibilité;Visibilità;Visibilidad;Sichtbarkeit;Widocznoœæ;;;;;X
EE_AIR_DETECTION;Air Detection;Détection aérienne;Rilevamento aereo;Detec. aérea;Lufterkennung;Zdolnoœæ wykrywania w powietrzu;;;;;X
EE_SURFACE_DETECTION;Surface Detection;Détection navale;Rilevamento in superficie;Detec. superficie;Bodenerkennung;Zdolnoœæ wykrywania na powierzchni;;;;;X
EE_SUB_DETECTION;Submarine Detection;Détection sous-marine;Rilevamento in immersione;Detec. submarinos;U-Boot-Erkennung;Zdolnoœæ wykrywania okr. podwodnych;;;;;X
EE_TRANSPORT_CAPACITY;Transport Capacity;Capacité de transport;Capacità di trasporto;Capac. transporte;Transportkapazität;Zdolnoœæ transportowa;;;;;X
EE_AIRCRAFT_CAPACITY;Aircraft Capacity;Capacité (avions);Capacità aerea;Capac. aviones;Flugzeugkapazität;Pojemnoœæ samolotu;;;;;X
EE_NEW_MODEL;New Model;Nouveau modèle;Nuovo modello;Nuevo modelo;Neues Modell;Nowy model;;;;;X
EE_ACTIVATE_UNIT_TYPE;Activate Unit Type;Activer type d'unité;Attiva il tipo di unità;Activar tipo unidad;Einheitstyp aktivieren;Aktywuj typ jednostki;;;;;x
EE_NUCLEAR_CARRIER;Subs may now launch Nukes;Les sous-marins peuvent lancer des ogives nucléaires;Ora i sommergibili possono lanciare le atomiche;Submarinos tienen armamento nuclear;U-Boote können jetzt Atomraketen abfeuern;Okr. podw. mog¹ wystrzeliwaæ pociski j¹drowe;;;;;x
EE_ABOMB_ALLOWED;We can now produce Atomic Bombs (if our test reactor is advanced enough.);Nous pouvons désormais produire des bombes atomiques (si notre réacteur d'essai est assez perfectionné.);Possiamo produrre bombe atomiche (se il nostro reattore di collaudo è abbastanza progredito.);Ahora podemos producir bombas atómicas (si nuestro reactor de prueba está lo bastante avanzado).;Wir können jetzt Atombomben produzieren (wenn Ihr Testreaktor fortschrittlich genug ist.);Mo¿emy ju¿ produkowaæ bomby j¹drowe (o ile nasz reaktor testowy jest wystarczaj¹co zaawansowany);;;;;X
EE_MAX_REACTOR_SIZE;Max Reactor Size:;Taille max. du réacteur :;Dimensioni massime del reattore:;Tamaño máximo del reactor:;Max. Reaktorgröße:;Maks. rozmiar reaktora:;;;;;X
EE_MISSILE_CARRIER;Subs may now launch Missiles;Les sous-marins peuvent lancer des fusées;Ora i sommergibili possono lanciare i missili;Submarinos pueden lanzar misiles;U-Boote können jetzt Raketen abfeuern;Okr. podw. mog¹ wystrzeliwaæ rakiety;;;;;x
EE_MINISUB_BONUS;Minisub Bonus;Bonus sous-marin miniature;Bonus sottomarino;Bonif. mini-sub;Kleinst-U-Boot-Bonus;Premia mini ³odzi podwodnej;;;;;x
EE_SURPRISE;Surprise Chance;Proba. surprise;Possibilità di attaccare a sorpresa;Probab. sorpresa;Überraschungschance;Szansa zaskoczenia;;;;;x
EE_INTELLIGENCE;IntOp Chance;Proba. Interception;Possibilità di IntOp;Probab. espionaje;IntOp Chance;Szansa na op. wewn.;;;;;x
EE_ARMY_DETECTION;Army detection Chance;Proba. détection armée;Possibilità di rilevare l'esercito;Probab. detec. ejército;Chance zur Armee-Erkennung;Szansa wykrycia armii;;;;;x
EE_AA_BATTERIES;Flak Power;Puissance DCA;Potenza della contraerea;Pot. fuego AA;Flakstärke;Si³a dzia³ przeciwlotniczych;;;;;x
EE_RESEARCH_COST;R&D Cost;Coût R&D;Costo ricerca;Coste I+D;Entwicklungskosten;Koszt bad. i prod.;;;;;x
EE_RESEARCH_TIME;R&D Time;Temps R&D;Tempo ricerca;Tiempo I+D;Entwicklungsdauer;Czas bad. i prod.;;;;;x
EE_RESEARCH_POS_OFFSET;R&D Max Time Inc;Temps max R&D +;Tempo max crescente ricerca;Incr. tiempo I+D;Max. R&D-Dauer gestiegen;Maks. wzrost czasu bad. i prod.;;;;;x
EE_RESEARCH_NEG_OFFSET;R&D Max Time Dec;Temps max R&D -;Tempo max decrescente ricerca;Red. tiempo I+D;Max. R&D-Dauer gesunken;Maks. spadek czasu bad. i prod.;;;;;x
EE_INDUSTRIAL_MULTIPLIER;Industrial Multiplier;Multiplicateur industriel;Moltiplicatore industriale;Multipl. industrial;Industrieller Multiplikator;Mno¿nik przemys³owy;;;;;x
EE_INDUSTRIAL_MODIFIER;Industrial Efficiency;Efficacité industrielle;Efficienza industriale;Eficacia industrial;Industrielle Effizienz;Wydajnoœæ przemys³owa;;;;;x
EE_NUKE_LEVEL;A-Bomb Type;Type bombe A;Tipo di bomba atomica;Tipo 'bomba A';Atombombentyp;Typ bomby j¹drowej;;;;;x
EE_CARRIER_LEVEL;Carrier Doctrine;Doctrine du porte-avions;Conoscenza delle portaerei;Doctrina portaav.;Flugzeugträger-Doktrin;Doktryna lotniskowców;;;;;x
EE_DEACTIVATE_TECH;Deactivate Techs;Désactive technologie;Disattiva le tecnologie;Desact. tecnologías;Tech deaktiviert;Deaktywuj technologie;;;;;x
EE_LAND_FORT_EFF;Land Fort Efficiency;Efficacité fort. terrestres;Efficienza del forte terrestre;Eficacia fort. terr.;Landbefestigung-Effizienz;Efektywnoœæ fortyfikacji l¹dowych;;;;;x
EE_COAST_FORT_EFF;Coast Fort Efficiency;Efficacité fort. côtières;Efficienza del forte costiero;Eficacia fort. cost.;Küstenbefestigung-Effizienz;Efektywnoœæ fortyfikacji nadbrze¿nych;;;;;x
EE_CONVOY_DEF_EFF;Convoy Escort Efficiency;Efficacité défense convoi;Efficienza della difesa del convoglio;Eficacia escolta convoy;Konvoi-Verteidigungs-Effizienz;Wydajnoœæ eskorty konwoju;;;;;x
